Entity,Code,Date,people_vaccinated_per_hundred
American Samoa,ASM,2021-03-03,23.25
American Samoa,ASM,2021-03-04,24.04
American Samoa,ASM,2021-03-05,24.04
American Samoa,ASM,2021-03-06,24.04
American Samoa,ASM,2021-03-07,24.04
American Samoa,ASM,2021-03-08,24.19
American Samoa,ASM,2021-03-09,24.19
Arizona,,2021-01-12,1.31
Arizona,,2021-01-13,1.43
Arizona,,2021-01-14,2.16
Arizona,,2021-01-15,2.42
Arizona,,2021-01-19,3.23
Arizona,,2021-01-20,3.39
Arizona,,2021-01-21,3.6
Arizona,,2021-01-22,3.85
Arizona,,2021-01-23,4.2
Arizona,,2021-01-24,4.56
Arizona,,2021-01-25,4.82
Arizona,,2021-01-26,5.03
Arizona,,2021-01-27,5.35
Arizona,,2021-01-28,5.67
Arizona,,2021-01-29,6.04
Arizona,,2021-01-30,6.46
Arizona,,2021-01-31,6.88
Arizona,,2021-02-01,7.2
Arizona,,2021-02-02,7.34
Arizona,,2021-02-03,7.6
Arizona,,2021-02-04,7.88
Arizona,,2021-02-05,8.21
Arizona,,2021-02-06,8.65
Arizona,,2021-02-07,9.03
Arizona,,2021-02-08,9.32
Arizona,,2021-02-09,9.56
Arizona,,2021-02-10,9.88
Arizona,,2021-02-11,10.27
Arizona,,2021-02-12,10.72
Arizona,,2021-02-13,11.14
Arizona,,2021-02-14,11.54
Arizona,,2021-02-16,12.17
Arizona,,2021-02-17,12.27
Arizona,,2021-02-18,12.56
Arizona,,2021-02-19,14.24
Arizona,,2021-02-20,14.62
Arizona,,2021-02-21,14.95
Arizona,,2021-02-22,15.24
Arizona,,2021-02-23,15.41
Arizona,,2021-02-24,15.63
Arizona,,2021-02-25,15.98
Arizona,,2021-02-26,16.43
Arizona,,2021-02-27,16.81
Arizona,,2021-02-28,17.18
Arizona,,2021-03-01,17.52
Arizona,,2021-03-02,17.78
Arizona,,2021-03-03,17.97
Arizona,,2021-03-04,18.27
Arizona,,2021-03-05,18.64
Arizona,,2021-03-06,18.67
Arizona,,2021-03-07,19.53
Arizona,,2021-03-08,19.46
Arizona,,2021-03-09,19.72
Arkansas,,2021-01-12,1.3
Arkansas,,2021-01-13,2.67
Arkansas,,2021-01-14,2.99
Arkansas,,2021-01-15,3.24
Arkansas,,2021-01-19,3.94
Arkansas,,2021-01-20,4.8
Arkansas,,2021-01-21,4.8
Arkansas,,2021-01-22,5.56
Arkansas,,2021-01-23,5.56
Arkansas,,2021-01-24,5.94
Arkansas,,2021-01-25,6.15
Arkansas,,2021-01-26,6.52
Arkansas,,2021-01-27,6.94
Arkansas,,2021-01-28,6.94
Arkansas,,2021-01-29,7.34
Arkansas,,2021-01-30,7.75
Arkansas,,2021-01-31,8.11
Arkansas,,2021-02-01,8.28
Arkansas,,2021-02-02,8.35
Arkansas,,2021-02-03,8.49
Arkansas,,2021-02-04,8.83
Arkansas,,2021-02-05,9.09
Arkansas,,2021-02-06,9.61
Arkansas,,2021-02-07,9.95
Arkansas,,2021-02-08,10.09
Arkansas,,2021-02-09,10.14
Arkansas,,2021-02-10,10.32
Arkansas,,2021-02-11,10.5
Arkansas,,2021-02-12,10.79
Arkansas,,2021-02-13,10.94
Arkansas,,2021-02-14,11.22
Arkansas,,2021-02-16,11.39
Arkansas,,2021-02-17,11.44
Arkansas,,2021-02-18,11.49
Arkansas,,2021-02-19,12.03
Arkansas,,2021-02-20,12.09
Arkansas,,2021-02-21,12.18
Arkansas,,2021-02-22,12.27
Arkansas,,2021-02-23,12.35
Arkansas,,2021-02-24,12.53
Arkansas,,2021-02-25,12.74
Arkansas,,2021-02-26,13.06
Arkansas,,2021-02-27,13.42
Arkansas,,2021-02-28,13.87
Arkansas,,2021-03-01,14.07
Arkansas,,2021-03-02,14.27
Arkansas,,2021-03-03,14.62
Arkansas,,2021-03-04,14.95
Arkansas,,2021-03-05,15.35
Arkansas,,2021-03-06,15.76
Arkansas,,2021-03-07,16.15
Arkansas,,2021-03-08,16.39
Arkansas,,2021-03-09,16.62
California,,2021-01-12,1.78
California,,2021-01-13,1.88
